inchi_key,gcm_cluster,cluster_size,cid,smiles,rscore_mean_all,rscore_mean_enriched,cpd_profile_score,cpd_profile_score_rank,rscore_x_dir_max_enriched,rscore_active,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
ZIQCQUSQSIAMDY-UHFFFAOYSA-N,523,327,16014037,CCc1ccc2oc(C(=O)NCC(c3ccc(OC)cc3)N3CCCCC3)c(C)c2c1,0.6888300946727994,7.0,10.162157626584335,1,7.0,1.0,327,197,25,1,0.04,0,1,yes
XRLGYKBOAJGOQA-UHFFFAOYSA-N,662,277,16310331,O=C(CN1CCN(S(=O)(=O)c2ccccc2)CC1)Nc1ccccc1C(=O)NC1CC1,0.2327609307238096,4.4,18.903516094034565,1,4.4,1.0,277,150,35,1,0.0285714285714285,1,0,yes
IAJXZQNVWNPROF-UHFFFAOYSA-N,720,260,135406348,O=c1[nH]c(C2CCN(S(=O)(=O)c3ccccc3)CC2)nc2c1nnn2Cc1ccccc1,0.3472991557625274,6.6,19.003789357071973,1,6.6,1.0,260,146,26,1,0.0384615384615384,1,0,yes
FHVIHYCTPVAAMA-UHFFFAOYSA-N,743,254,15990673,CCC(=O)N1c2ccc(S(=O)(=O)NCCc3ccccc3)cc2CC1C,0.3085229406505904,2.5495464446187395,8.26371756746012,1,3.9,1.0,254,133,27,2,0.074074074074074,2,0,yes
RQLLNYYBQNKJSJ-UHFFFAOYSA-N,764,248,5309851,CCN1CCN(C(=O)C2CCN(Cc3nc(-c4cccc(Cl)c4)oc3C)CC2)CC1,0.2398940768429081,2.2997732223093696,9.58661944711269,1,4.0,1.0,248,108,35,2,0.0571428571428571,2,0,yes
FJOGYEJMKCZEEM-UHFFFAOYSA-N,817,236,24819213,Cc1ccc(OCc2cc(C(=O)N3CCC(Oc4cccnc4)CC3)no2)cc1C,0.8651927265694666,2.8000000000000003,3.2362731608969293,1,8.4,1.0,236,183,25,2,0.08,2,1,yes
KBSHCJHVTZBLJA-UHFFFAOYSA-N,823,236,3867136,COc1ccccc1NC(=O)NCCC1=CCCCC1,0.6180092720880659,4.796371556949914,7.761002582929587,1,4.796371556949914,1.0,236,134,16,1,0.0625,0,1,yes
OVGMLFUJYWPNNI-UHFFFAOYSA-N,905,220,4905679,Cn1c(CCN2CCN(c3ccccn3)CC2)nc2cc(NC(=O)COc3ccccc3)ccc21,0.3534752627738242,5.5,15.559787569969917,1,5.5,1.0,220,172,26,1,0.0384615384615384,1,0,yes
VTDWLDUENZUQNL-UHFFFAOYSA-N,951,210,1202317,CS(=O)(=O)N(Cc1ccccc1)c1ccc(C(=O)N2CCc3ccccc3C2)cc1,0.7166666666666667,8.2,11.441860465116278,1,8.2,1.0,210,122,12,1,0.0833333333333333,1,0,yes
JQOXNHWPRIHPFJ-UHFFFAOYSA-N,953,209,20912364,O=C(NCC1CCN(Cc2ccccc2F)CC1)C1CCCN(c2ncnc3c2nc2n3CCCCC2)C1,0.3336283197365454,3.556150784760349,10.6590195567586,1,8.6,1.0,209,125,73,4,0.0547945205479452,4,0,yes
UMBCYJBEMJQZHN-UHFFFAOYSA-N,972,207,24982010,CCOc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCC3(N4CCCCC4)CCCCC3)cc2)cc1,0.3984840073841302,5.8,14.555163802116962,1,5.8,1.0,207,155,37,1,0.027027027027027,0,1,yes
RNVBPAYTVGGCEJ-UHFFFAOYSA-N,986,205,24791950,COc1ccc(CCC(C)N2CCC(Oc3ccc(C(=O)N4CCCC4)cc3)CC2)cc1,0.5518838269381602,5.25,9.51287162939144,1,6.4,1.0,205,138,25,2,0.08,2,0,yes
GPCQCHIOFICVCZ-UHFFFAOYSA-N,999,203,24978858,O=C(NCC(c1ccco1)N1CCCC1)c1cccc(NS(=O)(=O)c2ccc(Br)cc2)c1,0.2917125087058825,4.8,16.45455664995008,1,4.8,1.0,203,192,22,1,0.0454545454545454,1,0,yes
KDYSWVIVVGBOTF-RHINSWJKSA-N,1022,200,45280952,CC(C)C[C@@H](CN1CCCC1CN1C(=S)NC[C@@H]1Cc1ccc(O)cc1)N1C[C@H](Cc2ccc(O)cc2)N(CCc2ccccc2)C1=S,0.702097469599131,5.320974695991311,7.578683767411055,1,5.320974695991311,1.0,200,199,16,1,0.0625,1,0,yes
DFTXTQFWYWAKRB-UHFFFAOYSA-N,1043,198,49792795,CC(=O)Nc1cccc(-c2csc(C(O)c3ccccc3)n2)c1,0.437279717674759,4.8,10.976955495498547,1,4.8,1.0,198,198,25,1,0.04,1,0,yes
FZHZTMRVAKYJBO-UHFFFAOYSA-N,1083,191,46903011,COCOCCn1cc(CN2CCS(=O)(=O)N(Cc3ccc(-c4ccc(Cl)cc4)cc3)C(C(C)C)C2=O)nn1,0.3367018357070104,3.447392056557751,10.23870882473473,1,3.447392056557751,1.0,191,191,24,1,0.0416666666666666,1,0,yes
IXFDRJNTFAUPKS-UHFFFAOYSA-N,1086,191,2946400,CCOC(=O)C1CCCN(C(=S)Nc2ccc(Nc3ccccc3)cc2)C1,0.4548715009397242,7.6,16.70801530607891,1,7.6,1.0,191,133,26,1,0.0384615384615384,1,0,yes
RCKWBMILMBYWKU-UHFFFAOYSA-N,1109,188,24817023,COc1cc(C)ccc1OCc1cc(C(=O)N(C)CCCN2CCOCC2)no1,1.123147345755123,5.272448750980408,4.694351788220267,1,10.117346252941225,1.0,188,130,27,3,0.1111111111111111,1,2,yes
MDCJREYYACNQOT-UHFFFAOYSA-N,1121,186,20919969,Cc1ccc(-n2nc3c(=O)n(CCCC(=O)NCCc4ccccc4C)nc(C)c3c2C)cc1,0.3105020364101008,3.083381715182088,9.930310766495776,1,3.083381715182088,1.0,186,104,76,2,0.0263157894736842,1,1,yes
HSMPOWBTSKLEHX-UHFFFAOYSA-N,1209,175,2089892,O=C(Nc1nnc(C2CC2)s1)c1ccc(Cl)nc1,0.5814047309660154,8.318706919085008,14.307945009775398,1,8.318706919085008,1.0,175,101,38,1,0.0263157894736842,0,1,yes
SPICRFWJLUCKJT-UHFFFAOYSA-N,1211,175,854418,COc1ccccc1C(=O)Nc1nc2ccccc2[nH]1,1.6727272727272726,9.15,5.470108695652175,1,9.3,1.0,175,112,11,2,0.1818181818181818,2,0,yes
JFCGTWGBYPWUQX-QFIPXVFZSA-N,1220,174,53299696,O=C1NC[C@H](CCCCN2CCN(Cc3ccccc3)C(=O)C2=O)N(CC2CCCCC2)C1=O,2.3841769050613766,39.18785448639235,16.436638742368626,1,39.18785448639235,1.0,174,174,31,1,0.032258064516129,0,1,yes
RMPUCWLQCSXYGC-UHFFFAOYSA-N,1250,171,4025005,CN(Cc1ccccc1)C(=O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.8150584907210466,6.55,8.03623307353746,1,8.2,1.0,171,91,24,2,0.0833333333333333,2,0,yes
