inchi_key,gcm_cluster,cluster_size,cid,smiles,rscore_mean_all,rscore_mean_enriched,cpd_profile_score,cpd_profile_score_rank,rscore_x_dir_max_enriched,rscore_active
ZIQCQUSQSIAMDY-UHFFFAOYSA-N,523,327,16014037,CCc1ccc2oc(C(=O)NCC(c3ccc(OC)cc3)N3CCCCC3)c(C)c2c1,0.6888300946727994,7.0,10.162157626584337,1,7.0,1.0
ODERJDUJAUKNJU-UHFFFAOYSA-N,523,327,16573896,COc1ccc(C(CNC(=O)c2oc3ccccc3c2C)N2CCCC2)cc1,0.46673679146953934,4.4,9.427154834197719,2,4.4,1.0
DMZGRAIMZVQKKA-UHFFFAOYSA-N,523,327,16438052,COc1ccc(C(CNC(=O)c2oc3ccc(C)cc3c2C)N2CCCCC2)cc1,0.600930957132414,5.0,8.320423404145345,3,5.0,1.0
KFLVJPKNHSCIEK-UHFFFAOYSA-N,523,327,4878991,COc1ccc(C(CNC(=O)c2ccc(S(=O)(=O)N(C)C)cc2)N2CCCCC2)cc1,0.44068194652465137,3.5,7.9422359540753575,4,3.5,1.0
UPXVEJJJODSONG-UHFFFAOYSA-N,523,327,16324977,COc1ccc(C(CNC(=O)c2ccc(-c3nc4ccccc4s3)o2)N2CCCC2)cc1,0.4614126082569196,3.6,7.802127500589409,5,3.6,1.0
KQSUABYXRZXKAW-UHFFFAOYSA-N,523,327,16014041,COc1ccc(C(CNC(=O)c2oc3cc(Br)ccc3c2C)N2CCCCC2)cc1,0.4166204712111679,3.1,7.4408249575156775,6,3.1,1.0
KVJATYRCIKEHMF-UHFFFAOYSA-N,523,327,16305077,COc1ccc(C(CNC(=O)c2cccc(NC(=O)c3cccs3)c2)N2CCCC2)cc1,0.48742545733317244,3.6,7.385744724324634,7,3.6,1.0
QGEYIMYIIZVSSS-UHFFFAOYSA-N,523,327,24980985,COc1ccc(C(CNC(=O)c2oc3ccc(OC)cc3c2C)N2CCCC2)cc1,0.8665994732768503,6.4,7.385187964400492,8,6.4,1.0
LAZQTUPTICGIOO-UHFFFAOYSA-N,523,327,4882513,COc1ccc(C(CNC(=O)c2ccc(S(=O)(=O)N(C)C)cc2)N2CCCC2)cc1,0.5369530452997666,3.9,7.263204919198723,9,3.9,1.0
RPKKVOPUWHSAFZ-UHFFFAOYSA-N,523,327,24979577,CCOc1ccc(NS(=O)(=O)c2ccc(C(=O)NCC(c3ccc(OC)cc3)N3CCCC3)cc2)cc1,0.5652032351109502,4.0,7.077100326955479,10,4.0,1.0
BWNYMWXRMJNYHR-UHFFFAOYSA-N,523,327,18292571,COc1ccc(C(CNC(=O)c2ccc(-c3ccccc3Cl)o2)N2CCCC2)cc1,0.5276811872799168,3.7,7.011809572125749,11,3.7,1.0
MXPJTJIGUBGZGG-UHFFFAOYSA-N,523,327,25161556,COc1ccc(C(CNC(=O)c2ccc(S(=O)(=O)Nc3ccccc3OC)cc2)N2CCCC2)cc1,0.5160653356142987,3.3,6.394539164448709,12,3.3,1.0
PNETWOCRUSFOJR-UHFFFAOYSA-N,523,327,4878106,COc1ccc(C(CNC(=O)c2cc3ccccc3o2)N2CCCC2)cc1,0.27035357202291627,2.1,7.7676058958155565,13,2.1,0.0
JKRVDUIIWYSDFY-UHFFFAOYSA-N,523,327,2999523,COc1ccc(C(CNC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)N2CCCCC2)cc1,0.33224279190010536,2.5,7.524617722185735,14,2.5,0.0
VGJBIBXECCWTQD-UHFFFAOYSA-N,523,327,16014022,COc1ccc(C(CNC(=O)c2oc3cc(C)c(C)cc3c2C)N2CCCCC2)cc1,0.2703367736754622,1.6,5.918543667761572,15,1.6,0.0
RLJPNDWEDCVUCZ-UHFFFAOYSA-N,523,327,16438217,COc1ccc(C(CNC(=O)c2oc3ccc(F)cc3c2C)N2CCCCC2)cc1,0.379272269680788,2.2,5.800582262055741,16,2.2,0.0
JDUHDFYUQRGNQL-UHFFFAOYSA-N,523,327,25161787,COc1ccc(C(CNC(=O)C(C)Sc2ccccc2)N2CCOCC2)cc1,0.2546976546390706,1.4,5.4967133560139185,17,1.4,0.0
TXRHPRCQSVWDGV-UHFFFAOYSA-N,523,327,25162173,COc1ccc(C(CNC(=O)COc2c(C)cc(C)cc2C)N2CCOCC2)cc1,0.2126391997090296,1.0,4.7028017476005175,18,1.0,0.0
YCDJBSSALFSVAT-UHFFFAOYSA-N,523,327,24981631,COc1ccc(C(CNC(=O)CNC(=O)c2ccccc2Cl)N2CCCC2)cc1,0.06572184259985486,0.3,4.564692469542272,19,0.3,0.0
OAHZHDRFSQMGHK-UHFFFAOYSA-N,523,327,4884173,COc1ccc(C(CNC(=O)COc2ccccc2-c2ccccc2)N2CCOCC2)cc1,0.3566939556835314,1.5,4.205285724916631,20,1.5,0.0
RESATVNUUMNPQX-UHFFFAOYSA-N,523,327,16333416,COc1ccc(C(CNC(=O)c2cccc(S(=O)(=O)N3CCCC3)c2)N2CCCC2)cc1,0.25234819323263163,1.0,3.96277852117662,21,1.0,0.0
YECBZFDEAJOIFH-UHFFFAOYSA-N,523,327,24982022,CCOc1ccc(NS(=O)(=O)c2ccc(C(=O)NCC(c3ccc(OC)cc3)N3CCOCC3)cc2)cc1,0.25441168766690897,1.0,3.9306370283949374,22,1.0,0.0
BREOXUBVDDTQFJ-UHFFFAOYSA-N,523,327,24816949,COc1ccc(C(CNC(=O)c2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2)N2CCOCC2)cc1,0.2823087171161146,1.1,3.8964436211424744,23,1.1,0.0
DJDKTIHBYDLEHK-UHFFFAOYSA-N,523,327,16313790,COc1ccc(C(CNC(=O)c2ccc(OCc3csc(C)n3)cc2)N2CCCC2)cc1,0.28416476855482997,1.1,3.870993598517663,24,1.1,0.0
SZFHTMOEHHIFTR-UHFFFAOYSA-N,523,327,16014035,COc1ccc(C(CNC(=O)c2oc3ccc(Cl)cc3c2C)N2CCCCC2)cc1,0.5072394239328665,1.9,3.745765629312493,25,1.9,0.0
UDCKYTRPVOCKDD-UHFFFAOYSA-N,523,327,16312562,COc1ccc(C(CNC(=O)c2ccc(OCc3cscn3)cc2)N2CCCC2)cc1,0.2953963995111761,1.1,3.723809775001616,26,1.1,0.0
YNTLVLDWBSZAMP-UHFFFAOYSA-N,523,327,24980877,COc1ccc(C(CNC(=O)c2cccc(S(=O)(=O)Nc3ccccc3OC)c2)N2CCCC2)cc1,0.25089022943758593,0.9,3.5872261826118397,27,0.9,0.0
WYVLMOUKDSTUQV-UHFFFAOYSA-N,523,327,24979919,COc1ccc(C(CNC(=O)c2oc3c(Cl)cccc3c2C)N2CCCC2)cc1,0.30895229435278,1.1,3.5604202335003703,28,1.1,0.0
WKPNCKXXQVJSLT-UHFFFAOYSA-N,523,327,16573898,COc1ccc(C(CNC(=O)c2cc3c(s2)CCC(C)C3)N2CCCC2)cc1,0.373087254138627,1.3,3.4844395930957286,29,1.3,0.0
NTSGWAOORVBCCT-UHFFFAOYSA-N,523,327,24818378,COc1ccc(NS(=O)(=O)c2cccc(C(=O)NCC(c3ccc(F)cc3)N3CCOCC3)c2)cc1,0.20401779961010286,0.7,3.4310731776235484,30,0.7,0.0
SXOBOJCYFUNFIB-UHFFFAOYSA-N,523,327,17534867,COc1ccc(C(CNC(=O)CSc2ccc(Br)cc2C)N2CCOCC2)cc1,0.35710044250092793,1.2,3.360399084346925,31,1.2,0.0
MOYBXWQGYPIVPR-UHFFFAOYSA-N,523,327,4879667,COc1ccc(C(CNC(=O)c2ccco2)N2CCCCC2)cc1,0.2733312252421534,0.9,3.292708321936725,32,0.9,0.0
PSNQRIFATCYVTH-UHFFFAOYSA-N,523,327,16301776,COc1ccc(C(CNC(=O)c2ccc(Cl)s2)N2CCOCC2)cc1,0.28324514200919926,0.9,3.1774596154265895,33,0.9,0.0
UMOBMKQGMKEBDC-UHFFFAOYSA-N,523,327,4780237,COc1ccc(C(CNC(=O)c2ccc(C)c(S(=O)(=O)N3CCCCC3)c2)N2CCCC2)cc1,0.2203241749148716,0.7,3.1771366000597276,34,0.7,0.0
RCHXGQNDBRDROB-UHFFFAOYSA-N,523,327,24979361,COc1ccc(C(CNC(=O)c2sccc2C)N2CCOCC2)cc1,0.4118795525296548,1.3,3.156262533587175,35,1.3,0.0
IRENMABSRBJIAB-UHFFFAOYSA-N,523,327,16327819,COc1ccc(C(CNC(=O)c2cccc(NS(=O)(=O)c3ccccc3)c2)N2CCCC2)cc1,0.3276643889324626,1.0,3.0519032088229694,36,1.0,0.0
WDMADLMRCHXLMB-UHFFFAOYSA-N,523,327,25163733,COc1ccc(C(CNC(=O)c2cccc(S(=O)(=O)Nc3ccccc3OC)c2)N2CCCCC2)cc1,0.26571344342612785,0.8,3.0107622319922687,37,0.8,0.0
IPLYZFWUNYFCAR-UHFFFAOYSA-N,523,327,25163677,COc1ccc(C(CNC(=O)c2ccc(NS(=O)(=O)c3ccc(F)c(C)c3)cc2)N2CCCC2)cc1,0.6666695980797229,2.0,2.9999868086992505,38,2.0,0.0
UJXULCPBEYSSEY-UHFFFAOYSA-N,523,327,4587907,CCN(CC)S(=O)(=O)c1ccc(C(=O)NCC(c2ccc(OC)cc2)N2CCOCC2)cc1,0.20273368211571074,0.6,2.959547687086098,39,0.6,0.0
KQMSJWDYXLDNDA-UHFFFAOYSA-N,523,327,25163085,COc1ccc(C(CNC(=O)c2cccc(S(=O)(=O)Nc3ccc(F)cc3)c2)N2CCCCC2)cc1,0.5443747147070137,1.6,2.939151942171178,40,1.6,0.0
XZGOAZFUJHXTTR-UHFFFAOYSA-N,523,327,4791852,Cc1cc(OCC(=O)NCC(c2ccc(F)cc2)N2CCOCC2)ccc1Cl,0.2389745438654085,0.7,2.9291822830897125,41,0.7,0.0
