gcm_cluster,cluster_size,max_cpds_tested,num_assays,num_assays_enriched,fract_assays_enriched,num_assays_enriched_up,num_assays_enriched_down,gcm_conclusion
523,327,197,25,1,0.04,0,1,yes
662,277,150,35,1,0.0285714285714285,1,0,yes
720,260,146,26,1,0.0384615384615384,1,0,yes
743,254,133,27,2,0.074074074074074,2,0,yes
764,248,108,35,2,0.0571428571428571,2,0,yes
817,236,183,25,2,0.08,2,1,yes
823,236,134,16,1,0.0625,0,1,yes
905,220,172,26,1,0.0384615384615384,1,0,yes
951,210,122,12,1,0.0833333333333333,1,0,yes
953,209,125,73,4,0.0547945205479452,4,0,yes
972,207,155,37,1,0.027027027027027,0,1,yes
986,205,138,25,2,0.08,2,0,yes
999,203,192,22,1,0.0454545454545454,1,0,yes
1022,200,199,16,1,0.0625,1,0,yes
1043,198,198,25,1,0.04,1,0,yes
1083,191,191,24,1,0.0416666666666666,1,0,yes
1086,191,133,26,1,0.0384615384615384,1,0,yes
1109,188,130,27,3,0.1111111111111111,1,2,yes
1121,186,104,76,2,0.0263157894736842,1,1,yes
1209,175,101,38,1,0.0263157894736842,0,1,yes
1211,175,112,11,2,0.1818181818181818,2,0,yes
1220,174,174,31,1,0.032258064516129,0,1,yes
1250,171,91,24,2,0.0833333333333333,2,0,yes
1300,164,164,45,4,0.0888888888888888,4,0,yes
1313,163,163,25,2,0.08,2,0,yes
1321,162,98,23,1,0.0434782608695652,0,1,yes
1423,152,132,32,1,0.03125,1,0,yes
1535,143,142,56,1,0.0178571428571428,1,0,yes
1590,139,128,24,2,0.0833333333333333,2,0,yes
1619,138,96,38,1,0.0263157894736842,1,0,yes
1651,136,98,34,1,0.0294117647058823,0,1,yes
1661,135,93,100,1,0.01,1,0,yes
1685,134,51,68,3,0.0441176470588235,3,0,yes
1769,127,127,41,3,0.073170731707317,3,0,yes
1770,127,127,25,1,0.04,1,0,yes
1801,126,119,36,1,0.0277777777777777,1,0,yes
1866,122,121,38,1,0.0263157894736842,1,0,yes
1874,121,93,27,1,0.037037037037037,1,0,yes
1942,118,79,98,1,0.010204081632653,1,0,yes
1946,118,100,37,1,0.027027027027027,1,0,yes
1962,117,59,55,3,0.0545454545454545,2,1,yes
1983,115,84,104,1,0.0096153846153846,1,0,yes
1991,115,113,36,3,0.0833333333333333,3,0,yes
2013,114,106,23,1,0.0434782608695652,1,0,yes
2042,112,112,42,1,0.0238095238095238,1,0,yes
2087,110,82,19,1,0.0526315789473684,1,0,yes
2098,109,69,74,1,0.0135135135135135,0,1,yes
2132,107,107,49,1,0.0204081632653061,1,0,yes
2134,107,107,42,1,0.0238095238095238,0,1,yes
2136,107,107,43,2,0.0465116279069767,2,0,yes
2178,105,86,31,1,0.032258064516129,1,0,yes
2180,104,92,12,1,0.0833333333333333,1,0,yes
